POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
0,0,0.0,259.878
1,0,0.063,259.874
2,0,0.127,259.87
3,0,0.19,259.866
4,0,0.253,259.861
5,0,0.317,259.857
6,0,0.38,259.853
7,0,0.443,259.849
8,0,0.507,259.845
9,0,0.57,259.841
10,0,0.633,259.836
11,0,0.697,259.832
12,0,0.76,259.828
13,0,0.823,259.824
14,0,0.887,259.82
15,0,0.95,259.816
16,0,1.013,259.811
17,0,1.077,259.807
18,0,1.14,259.803
19,0,1.203,259.799
20,0,1.267,259.795
21,0,1.33,259.79
22,0,1.393,259.786
23,0,1.456,259.782
24,0,1.52,259.778
25,0,1.583,259.774
26,0,1.646,259.77
27,0,1.71,259.765
28,0,1.773,259.761
29,0,1.836,259.757
30,0,1.9,259.753
31,0,1.963,259.749
32,0,2.026,259.744
33,0,2.09,259.74
34,0,2.153,259.736
35,0,2.216,259.732
36,0,2.28,259.728
37,0,2.343,259.724
38,0,2.406,259.719
39,0,2.47,259.715
40,0,2.533,259.711
41,0,2.596,259.707
42,0,2.66,259.703
43,0,2.723,259.699
44,0,2.786,259.694
45,0,2.85,259.69
46,0,2.913,259.686
47,0,2.976,259.682
48,0,3.04,259.678
49,0,3.103,259.673
50,0,3.166,259.669
51,0,3.23,259.665
52,0,3.293,259.661
53,0,3.356,259.657
54,0,3.42,259.653
55,0,3.483,259.648
56,0,3.546,259.644
57,0,3.61,259.64
58,0,3.673,259.636
59,0,3.736,259.632
60,0,3.8,259.627
61,0,3.863,259.623
62,0,3.926,259.619
63,0,3.99,259.615
64,0,4.053,259.611
65,0,4.116,259.607
66,0,4.179,259.602
67,0,4.243,259.598
68,0,4.306,259.594
69,0,4.369,259.59
70,0,4.433,259.586
71,0,4.496,259.582
72,0,4.559,259.577
73,0,4.623,259.573
74,0,4.686,259.569
75,0,4.749,259.565
76,0,4.813,259.561
77,0,4.876,259.556
78,0,4.939,259.552
79,0,5.003,259.548
80,0,5.066,259.544
81,0,5.129,259.54
82,0,5.193,259.536
83,0,5.256,259.531
84,0,5.319,259.527
85,0,5.383,259.523
86,0,5.446,259.519
87,0,5.509,259.515
88,0,5.573,259.511
89,0,5.636,259.506
90,0,5.699,259.502
91,0,5.763,259.498
92,0,5.826,259.494
93,0,5.889,259.49
94,0,5.953,259.485
