comid,stream_order,stream_lat,stream_lon,max_forecasted_flow,date_exceeds_return_period_2,date_exceeds_return_period_5,date_exceeds_return_period_10,date_exceeds_return_period_25,date_exceeds_return_period_50,date_exceeds_return_period_100
13040660.0,4,47.757171630859375,-78.73059844970703,546.42,2022-10-28 06:00:00,,,,,
13040704.0,2,47.66493606567383,-78.09439086914062,12.02,2022-10-27 00:00:00,,,,,
13040245.0,2,47.83169174194336,-85.06708526611328,10.07,2022-10-24 15:00:00,,,,,
13040590.0,2,47.6845817565918,-87.59833526611328,0.0,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00
13040465.0,2,47.87690734863281,-86.77958679199219,5.03,2022-10-21 00:00:00,,,,,
13039277.0,2,48.22735977172852,-86.77874755859375,4.89,2022-10-21 00:00:00,,,,,
13040335.0,2,48.20945739746094,-86.89958953857422,25.73,2022-10-21 00:00:00,,,,,
13040413.0,4,47.74216079711914,-78.26203918457031,401.17,2022-10-30 12:00:00,,,,,
13040366.0,4,47.7476921081543,-78.29467010498047,403.83,2022-10-30 00:00:00,,,,,
13036747.0,2,48.99964141845703,-86.81417083740234,20.79,2022-10-21 00:00:00,,,,,
13040252.0,5,47.79536437988281,-86.99901580810547,327.83,2022-10-21 00:00:00,,,,,
13040319.0,2,47.77628326416016,-76.96971893310547,40.53,2022-10-22 15:00:00,,,,,
13040211.0,2,47.825321197509766,-76.8465805053711,35.64,2022-10-22 06:00:00,,,,,
13040117.0,5,47.90293884277344,-87.0648422241211,327.96,2022-10-21 00:00:00,,,,,
13039872.0,2,47.907989501953125,-76.68660736083984,24.83,2022-10-21 15:00:00,,,,,
13039450.0,3,48.15024185180664,-87.11958312988281,19.71,2022-10-21 00:00:00,,,,,
13039449.0,5,48.150428771972656,-87.21623992919922,308.89,2022-10-21 00:00:00,,,,,
13040336.0,4,47.80261993408203,-78.35163116455078,411.79,2022-10-29 06:00:00,,,,,
13039704.0,4,47.92037963867188,-78.65898132324219,534.03,2022-10-28 00:00:00,,,,,
13039554.0,2,48.00266647338867,-76.60749053955078,13.94,2022-10-21 12:00:00,,,,,
13039696.0,4,47.93317031860352,-78.60148620605469,432.45,2022-10-28 12:00:00,,,,,
13040068.0,4,47.88835144042969,-78.46198272705078,421.08,2022-10-28 18:00:00,,,,,
13039397.0,2,48.05867767333984,-80.06989288330078,12.71,2022-10-21 00:00:00,,,,,
13039503.0,2,47.98666000366211,-78.08103942871094,12.62,2022-10-22 03:00:00,,,,,
13038229.0,3,48.56721878051758,-87.11876678466797,19.82,2022-10-21 00:00:00,,,,,
13038228.0,2,48.519073486328125,-87.31066131591797,1.94,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00
13038227.0,5,48.41682434082031,-87.37926483154297,307.56,2022-10-21 00:00:00,,,,,
13037788.0,2,48.655982971191406,-86.77593231201172,4.91,2022-10-21 00:00:00,,,,,
13039510.0,2,48.01082611083984,-77.05514526367188,18.66,2022-10-22 12:00:00,,,,,
13039233.0,2,48.08560943603516,-77.12916564941406,29.27,2022-10-22 18:00:00,,,,,
13039462.0,2,48.03007507324219,-77.33283233642578,9.91,2022-10-22 15:00:00,,,,,
13039232.0,2,48.061824798583984,-77.29908752441406,35.28,2022-10-23 00:00:00,,,,,
13039451.0,2,48.03398132324219,-77.93438720703125,22.14,2022-10-21 00:00:00,,,,,
13039139.0,3,48.086124420166016,-77.32977294921875,45.35,2022-10-22 21:00:00,,,,,
13038886.0,2,48.141937255859375,-83.98582458496094,5.69,2022-10-31 00:00:00,,,,,
13039130.0,2,48.11681365966797,-77.67742156982422,17.01,2022-10-21 00:00:00,,,,,
13039034.0,2,48.13156509399414,-83.61833190917969,4.7,2022-10-30 18:00:00,,,,,
13038808.0,2,48.18999099731445,-77.67288208007812,23.87,2022-10-22 00:00:00,,,,,
13038747.0,2,48.18732070922852,-77.76593780517578,33.11,2022-10-25 06:00:00,,,,,
13039099.0,2,48.13443374633789,-77.8844985961914,31.94,2022-10-21 00:00:00,,,,,
13038726.0,2,48.188621520996094,-77.8414306640625,38.41,2022-10-25 12:00:00,,,,,
13038173.0,2,48.36495590209961,-88.96144104003906,9.24,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,,,
13038408.0,2,48.3966178894043,-88.24526977539062,0.73,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00
13038783.0,2,48.18710708618164,-83.60761260986328,7.79,2022-10-29 18:00:00,,,,,
13038626.0,2,48.212158203125,-83.59329223632812,12.04,2022-10-30 00:00:00,,,,,
13039020.0,3,48.15982818603516,-77.32462310791016,53.67,2022-10-23 00:00:00,,,,,
13038468.0,3,48.285606384277344,-90.79686737060548,14.69,2022-10-24 15:00:00,,,,,
13038548.0,2,48.23217391967773,-83.17780303955078,5.1,2022-10-31 00:00:00,,,,,
13038475.0,3,48.3939094543457,-88.66398620605469,46.07,2022-10-23 15:00:00,,,,,
13037294.0,3,48.5341682434082,-88.58583068847656,42.36,2022-10-30 18:00:00,,,,,
13038721.0,3,48.20954895019531,-77.94883728027344,73.33,2022-10-23 09:00:00,,,,,
13038600.0,3,48.240570068359375,-77.3274154663086,56.88,2022-10-23 09:00:00,,,,,
13037311.0,2,48.532962799072266,-88.24935150146484,0.75,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00
13038469.0,3,48.25724411010742,-78.02252960205078,76.37,2022-10-23 21:00:00,,,,,
13038411.0,3,48.279876708984375,-77.31105041503906,63.01,2022-10-24 06:00:00,,,,,
13036193.0,2,48.8066635131836,-87.15431213378906,6.25,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-24 18:00:00,,,
13036168.0,2,48.864166259765625,-87.08373260498047,12.79,2022-10-24 15:00:00,,,,,
13037328.0,2,48.66690826416016,-87.44267272949219,4.06,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-21 00:00:00,2022-10-22 03:00:00,2022-10-30 06:00:00,
13037327.0,5,48.59403991699219,-87.48773193359375,303.61,2022-10-21 00:00:00,,,,,
13038279.0,2,48.30454254150391,-91.0800552368164,6.64,2022-10-21 00:00:00,2022-10-21 00:00:00,,,,
13038302.0,2,48.30196380615234,-82.63656616210938,13.93,2022-10-30 12:00:00,,,,,
13038292.0,2,48.30735397338867,-82.18627166748047,9.04,2022-10-21 21:00:00,,,,,
13037822.0,2,48.48229598999024,-88.94033813476562,5.2,2022-10-21 00:00:00,,,,,
13038234.0,2,48.32083511352539,-78.36750030517578,17.59,2022-10-24 21:00:00,,,,,
13038140.0,2,48.33396530151367,-83.74017333984375,4.07,2022-10-26 09:00:00,,,,,
13038105.0,2,48.339500427246094,-83.73941040039062,10.21,2022-10-22 00:00:00,,,,,
13037987.0,4,48.380218505859375,-91.9330062866211,77.96,2022-10-21 00:00:00,,,,,
13038095.0,4,48.35570526123047,-92.02796936035156,79.39,2022-10-21 00:00:00,,,,,
13038189.0,2,48.33545303344727,-82.5374984741211,19.15,2022-10-28 18:00:00,,,,,
13038614.0,2,48.28799819946289,-83.62411499023438,18.09,2022-10-29 06:00:00,,,,,
13038106.0,3,48.348419189453125,-83.70205688476562,14.63,2022-10-25 09:00:00,,,,,
13038119.0,2,48.35100936889648,-78.33920288085938,22.1,2022-10-23 21:00:00,,,,,
13037914.0,4,48.38417434692383,-91.82991027832033,72.77,2022-10-21 00:00:00,,,,,
13038272.0,3,48.33835220336914,-77.28201293945312,66.59,2022-10-24 18:00:00,,,,,
13037894.0,3,48.38849258422852,-91.22278594970705,25.59,2022-10-21 00:00:00,2022-10-21 21:00:00,,,,
13037928.0,3,48.3830680847168,-91.24119567871094,28.39,2022-10-21 00:00:00,2022-10-22 03:00:00,,,,
13037893.0,4,48.44541549682617,-91.67877960205078,70.65,2022-10-21 00:00:00,,,,,
13037729.0,3,48.462379455566406,-90.95252990722656,10.61,2022-10-21 00:00:00,,,,,
13038217.0,2,48.34751129150391,-91.16200256347656,11.46,2022-10-21 00:00:00,2022-10-21 03:00:00,,,,
13037895.0,3,48.4119873046875,-91.09954833984376,14.3,2022-10-21 00:00:00,2022-10-24 18:00:00,,,,
13037536.0,4,48.49219131469727,-91.52410888671876,63.3,2022-10-21 00:00:00,,,,,
13038627.0,2,48.29973602294922,-80.88187408447266,12.38,2022-10-22 06:00:00,,,,,
13037927.0,3,48.3942756652832,-91.27043151855467,32.44,2022-10-21 00:00:00,2022-10-23 21:00:00,,,,
13037550.0,2,48.48202896118164,-90.83956909179688,4.45,2022-10-21 00:00:00,,,,,
13037549.0,2,48.49336242675781,-90.86869049072266,5.76,2022-10-21 00:00:00,,,,,
13037691.0,3,48.45265197753906,-92.4525146484375,20.97,2022-10-21 00:00:00,,,,,
13037648.0,3,48.45452117919922,-92.30257415771484,18.26,2022-10-21 00:00:00,,,,,
13037692.0,3,48.44596481323242,-92.35659790039062,19.38,2022-10-21 00:00:00,,,,,
13037814.0,3,48.43256378173828,-91.31523895263672,37.17,2022-10-21 00:00:00,2022-10-24 15:00:00,,,,
13037593.0,3,48.52197265625,-92.14210510253906,14.63,2022-10-21 00:00:00,,,,,
13038064.0,2,48.40385437011719,-81.97805786132812,15.12,2022-10-30 12:00:00,,,,,
13037995.0,2,48.41531753540039,-78.34652709960938,29.54,2022-10-23 03:00:00,,,,,
13037212.0,2,48.55411911010742,-91.89338684082033,6.22,2022-10-21 00:00:00,,,,,
13037201.0,2,48.55938720703125,-91.96478271484376,6.77,2022-10-21 00:00:00,,,,,
13038024.0,3,48.43507766723633,-83.51202392578125,38.4,2022-10-27 06:00:00,,,,,
13037649.0,2,48.46310424804688,-83.3760757446289,5.74,2022-10-26 15:00:00,,,,,
13037930.0,3,48.42642593383789,-77.20075225830078,69.53,2022-10-27 12:00:00,,,,,
13037465.0,2,48.52204513549805,-90.72911834716795,2.49,2022-10-21 00:00:00,,,,,
13037554.0,3,48.475833892822266,-77.15333557128906,72.38,2022-10-27 18:00:00,,,,,
