lat,lon,time
48.905,-116.4019444,38936.22019780014
43.98244444,-89.5480556,96726.51663549914
48.905,-116.4019444,125520.90630859893
43.98244444,-89.5480556,178323.11418359895
48.905,-116.4019444,211864.3142128989
43.98244444,-89.5480556,266401.9758698996
43.98244444,-89.5480556,371145.96793590026
43.98244444,-89.5480556,457330.99827510014
47.3788611,-122.2688056,510466.774877999
44.7514861,-122.2833778,513048.53575559973
47.3788611,-122.2688056,646051.0693777993
44.7514861,-122.2833778,646932.2762283002
47.3788611,-122.2688056,737933.3593556993
47.3788611,-122.2688056,897921.0538489991
48.905,-116.4019444,989333.8319474992
44.7514861,-122.2833778,1091822.9159754002
47.3788611,-122.2688056,1095074.4655796997
