comid,stream_order,stream_lat,stream_lon,max_forecasted_flow,date_exceeds_return_period_2,date_exceeds_return_period_5,date_exceeds_return_period_10,date_exceeds_return_period_25,date_exceeds_return_period_50,date_exceeds_return_period_100
13082225.0,2,30.33872604370117,-90.8220443725586,192.59,2023-01-25 06:00:00,,,,,
13082195.0,2,30.37117576599121,-90.4964599609375,177.8,2023-01-25 09:00:00,,,,,
13082189.0,2,30.367918014526367,-90.81676483154295,140.49,2023-01-25 06:00:00,,,,,
13082006.0,2,30.743087768554688,-91.2769012451172,204.55,2023-01-25 09:00:00,,,,,
13082199.0,2,30.404624938964844,-90.13834381103516,330.43,2023-01-25 12:00:00,,,,,
13082055.0,2,30.577795028686523,-90.34603881835938,116.69,2023-01-25 06:00:00,,,,,
13082115.0,2,30.50316047668457,-91.04549407958984,219.38,2023-01-25 09:00:00,,,,,
13082136.0,2,30.448863983154297,-90.1086883544922,277.06,2023-01-25 06:00:00,,,,,
13082163.0,2,30.43293571472168,-90.53629302978516,111.77,2023-01-25 09:00:00,,,,,
13082124.0,2,30.502614974975582,-90.70530700683594,119.3,2023-01-25 06:00:00,,,,,
13082150.0,3,30.426912307739254,-88.98783874511719,296.13,2023-01-25 12:00:00,,,,,
13082142.0,2,30.464679718017575,-89.01805114746094,145.61,2023-01-25 12:00:00,,,,,
13082140.0,2,30.456768035888672,-88.93562316894531,158.1,2023-01-25 12:00:00,,,,,
13082085.0,2,30.53217887878418,-89.07422637939453,104.33,2023-01-25 09:00:00,,,,,
13082099.0,2,30.488750457763672,-88.8879165649414,87.68,2023-01-25 09:00:00,,,,,
13082126.0,2,30.47312355041504,-90.09480285644533,169.09,2023-01-25 06:00:00,,,,,
13082058.0,2,30.603883743286133,-91.09770965576172,174.65,2023-01-25 06:00:00,,,,,
13082074.0,2,30.589303970336918,-87.53485107421875,122.97,2023-01-25 15:00:00,,,,,
13081894.0,2,30.86864852905273,-91.24176025390624,164.7,2023-01-25 06:00:00,2023-01-25 06:00:00,,,,
13081935.0,2,30.801332473754883,-91.4144515991211,195.58,2023-01-25 06:00:00,,,,,
13081911.0,2,30.82860946655273,-87.60231018066406,102.86,2023-01-25 12:00:00,,,,,
13081868.0,2,30.900474548339844,-90.21954345703124,94.28,2023-01-25 09:00:00,,,,,
13081837.0,2,30.972686767578125,-90.84422302246094,209.76,2023-01-25 12:00:00,,,,,
13081809.0,2,31.058258056640625,-90.75875854492188,123.33,2023-01-25 09:00:00,,,,,
13081803.0,2,31.057573318481445,-90.47167205810548,99.96,2023-01-25 09:00:00,,,,,
13081757.0,2,31.18996810913086,-91.38866424560548,174.7,2023-01-25 06:00:00,,,,,
13081779.0,2,31.05081367492676,-86.10759735107422,61.34,2023-01-25 15:00:00,,,,,
