lat,lon,avg,std,date,value
53.104168,-99.8625,288.13,2.361413,20070621,288.97998
58.495834,13.2375,288.53,1.9882855,20070601,285.83
58.495834,13.2375,288.53,1.9882855,20070621,289.19998
50.245834,-98.1625,290.90817,2.8284204,20070601,287.02
50.245834,-98.1625,290.90817,2.8284204,20070611,292.66998
-34.0875,-53.679165,284.7757,1.8654727,20070601,282.97998
-15.4375,35.6625,295.2993,1.5940317,20070601,297.33
-15.4375,35.6625,295.2993,1.5940317,20070611,294.19998
-8.454166,32.620834,297.84155,1.0603921,20070601,299.83
-8.454166,32.620834,297.84155,1.0603921,20070621,297.5
-0.8125,36.3375,293.23334,0.87186,20070601,294.41998
2.8375,36.395832,299.676,0.9080606,20070601,300.72
2.8375,36.395832,299.676,0.9080606,20070621,300.47998
37.6375,31.520834,294.58997,1.3148261,20070611,295.38998
30.595833,81.45417,281.17444,1.5080651,20070601,282.03998
30.595833,81.45417,281.17444,1.5080651,20070621,283.77
30.2375,86.42083,278.46713,1.7089633,20070601,276.33
30.2375,86.42083,278.46713,1.7089633,20070611,277.87
30.3125,86.45417,279.24374,1.3480738,20070601,276.71
30.3125,86.45417,279.24374,1.3480738,20070621,280.66998
33.370834,89.92083,279.88202,1.466107,20070611,278.97998
33.370834,89.92083,279.88202,1.466107,20070621,280.1
51.129166,-99.7625,291.835,2.974951,20070601,289.46
46.8625,87.3875,292.95374,2.41976,20070611,294.25
46.8625,87.3875,292.95374,2.41976,20070621,292.08
57.8625,27.9625,291.276,1.9240453,20070601,292.38
48.745834,-88.520836,289.73697,2.0923269,20070601,287.72998
48.745834,-88.520836,289.73697,2.0923269,20070621,291.91998
58.029167,38.395832,290.70874,2.4838376,20070601,291.9
58.029167,38.395832,290.70874,2.4838376,20070621,289.15
54.8625,77.72083,293.05222,2.752383,20070601,287.77
45.879166,81.8375,292.17355,2.9078822,20070601,285.91998
45.879166,81.8375,292.17355,2.9078822,20070611,292.38
45.879166,81.8375,292.17355,2.9078822,20070621,294.3
53.695835,-65.2875,284.88,2.615117,20070611,286.25
48.054165,-95.0875,292.46,1.649365,20070601,289.88998
48.054165,-95.0875,292.46,1.649365,20070621,294.87
40.629166,53.8125,299.41776,1.1648493,20070601,300.37
40.629166,53.8125,299.41776,1.1648493,20070621,299.93
45.745834,74.2125,295.9308,1.5674437,20070601,294.50998
45.745834,74.2125,295.9308,1.5674437,20070611,295.75
-1.6791667,33.445835,297.9523,0.46224117,20070621,297.59
-7.4041667,30.2125,298.67667,0.645343,20070601,299.59
-7.4041667,30.2125,298.67667,0.645343,20070611,299.25
-7.4041667,30.2125,298.67667,0.645343,20070621,298.36
51.120834,106.29583,294.515,0.39500427,20070621,294.12
-11.8625,34.295834,298.00693,0.5725289,20070601,298.81
-11.8625,34.295834,298.00693,0.5725289,20070621,297.8
41.495834,-81.92083,293.00998,2.4324706,20070611,292.31
41.495834,-81.92083,293.00998,2.4324706,20070621,294.91998
44.470833,-81.42083,287.40997,2.0962756,20070611,288.66
44.470833,-81.42083,287.40997,2.0962756,20070621,289.31
45.8125,-87.02917,291.005,2.4594626,20070621,293.74
42.2375,76.82083,289.37,1.000384,20070611,289.36
47.754166,16.729166,296.65152,2.3461766,20070601,294.62
47.754166,16.729166,296.65152,2.3461766,20070611,297.68
47.754166,16.729166,296.65152,2.3461766,20070621,296.53
-30.9375,-62.8625,284.68875,0.99025744,20070601,284.27
-30.9375,-62.8625,284.68875,0.99025744,20070611,284.18
-30.9375,-62.8625,284.68875,0.99025744,20070621,283.28
-11.029166,-42.7625,296.57498,0.53599507,20070621,295.94998
41.8375,86.7625,296.50143,1.4911759,20070601,295.3
41.8375,86.7625,296.50143,1.4911759,20070621,298.78998
58.629166,-110.4375,290.01382,2.2086158,20070601,288.4
58.629166,-110.4375,290.01382,2.2086158,20070611,290.03998
58.629166,-110.4375,290.01382,2.2086158,20070621,290.22998
7.4041667,38.5625,295.865,0.86083555,20070601,296.07
54.604168,128.00417,287.215,2.3083155,20070611,284.22998
54.604168,128.00417,287.215,2.3083155,20070621,284.88998
64.27917,27.279167,286.06375,2.3944843,20070601,285.32
64.27917,27.279167,286.06375,2.3944843,20070611,287.07
33.095833,-115.7125,302.24142,2.5121415,20070601,296.77
33.095833,-115.7125,302.24142,2.5121415,20070621,303.91998
47.579166,93.4875,290.6769,1.9913043,20070601,289.88
47.579166,93.4875,290.6769,1.9913043,20070611,289.13998
55.320835,-114.84583,286.92896,2.4094467,20070601,283.91998
55.320835,-114.84583,286.92896,2.4094467,20070611,285.78
48.604168,117.229164,294.51248,3.1999452,20070611,292.44998
6.429167,0.004166667,301.495,0.84159744,20070611,301.15
-16.845833,28.2125,297.01935,0.6967593,20070611,296.87
-16.845833,28.2125,297.01935,0.6967593,20070621,295.88998
59.945835,31.504168,289.2214,2.8551545,20070601,290.19998
59.945835,31.504168,289.2214,2.8551545,20070621,290.9
61.170834,28.445833,287.514,2.2754707,20070601,287.55
61.170834,28.445833,287.514,2.2754707,20070611,288.69
