lat,lon,time
66.438377,130.144971,5553.169447900109
69.884209,158.305185,5784.421455900156
69.827083,157.45625,5808.093182500124
69.677001,158.885397,5857.664847600063
69.151639,158.894026,6069.465908600068
68.846282,156.291319,6266.278540399981
67.970664,154.986459,6925.376242800121
67.965679,154.790625,6978.508650700132
67.918195,154.389572,7048.475743700146
67.781392,155.518831,7279.563301100097
67.755901,155.276518,7355.524747800155
67.448645,168.511931,7735.5459065000105
45.847917,57.685417,11269.203260200084
61.275296,79.412847,11601.370391700038
65.531231,105.077074,11806.637144900014
-1.898009,9.302383,16522.56031120014
38.619668,31.227083,17282.93874709998
69.51538,70.800752,18068.498444200122
69.23466,70.249257,18149.50955630011
68.738655,72.457292,18374.290802900032
66.307215,67.505208,19222.316619100093
67.75331,85.784323,19444.75713870015
67.014683,83.356253,19642.661198000133
66.603858,85.396112,19709.11645190008
65.821886,89.098958,20039.39559270002
61.721546,26.552083,24500.332104100016
62.757872,26.548958,30927.349155500087
62.615682,26.357036,31045.873037300044
68.776358,27.396976,31423.068388899992
67.71511,26.77295,31517.22432180013
66.161109,25.177073,32440.3333192
68.348158,57.46152,34142.726178500016
68.048305,61.461328,34179.07052040009
66.134232,63.964758,34376.94696140006
65.836368,32.926042,37159.93596740009
63.380108,33.955307,37610.90211990013
62.60029,33.850521,37752.09498490003
62.211541,34.277083,37876.896770200074
66.672852,30.827529,38879.99893760007
66.099832,31.902106,39910.59405169999
56.086141,65.929397,41235.29911320002
31.300665,88.041258,41673.93441310014
31.214583,89.202083,41831.12879979999
-0.564583,100.551042,42383.49142830011
65.936468,13.878125,45285.177637700144
48.397917,47.572917,47299.742035500094
-45.564001,167.605208,58972.182695800075
35.106362,97.784866,85304.36154730014
