Name,Lat,Lon,One year flood,Two year flood
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
"Hutton Br at N Denton Dr at Carrollton, TX",32.9571611,-96.9071167,309.7578947368421,356.09000000000003
SARATOGA C A SARATOGA CA,37.25438808,-122.039404,203.72105263157894,304.0
"UNNAMED TRIB TO BERTRAND CR NR H ST NR LYNDEN, WA",48.9981716,-122.5012748,22.795789473684213,29.240000000000002
ALAMEDA C FLOOD CHANNEL A UNION CITY CA,37.58576818,-122.0482955,3245.315789473684,4453.0
PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,37.52466087,-122.3994177,65.69473684210526,90.89
"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.0420556,nan,nan
ARROYO TRABUCO A SAN JUAN CAPISTRANO CA,33.49835999,-117.6658843,919.3157894736842,1366.7
GREAT CHAZY RIVER AT PERRY MILLS NY,44.9996111,-73.5020833,3403.684210526316,3724.0
SAN LORENZO C A SAN LORENZO CA,37.6840977,-122.1399649,746.7368421052631,950.7
"ADDISON CREEK AT BELLWOOD, IL",41.88185556,-87.8689333,316.05263157894734,409.5
"Tacony Creek ab Adams Avenue, Philadelphia, PA",40.04261157,-75.1121191,422.6842105263158,541.1
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
D-24-22 04CBA2 [PAL-LD],31.36905833,-110.1187861,10.421052631578947,10.6
"ST. JOSEPH CREEK AT ROUTE 34 AT LISLE, IL",41.80194444,-88.06888889,362.43684210526317,486.2
"UNNAMED TRIB TO BERTRAND CR NR H ST NR LYNDEN, WA",48.9981716,-122.5012748,22.795789473684213,29.240000000000002
"CHERRY CREEK AT GLENDALE, CO",39.7060984,-104.9374795,130.88894736842107,187.06
"LITTLE CALUMET RIVER AT SOUTH HOLLAND, IL",41.60702778,-87.5975833,2186.842105263158,2644.0
SARATOGA C A SARATOGA CA,37.25438808,-122.039404,203.72105263157894,304.0
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
WILDWOOD CANYON CR A BURBANK CA,34.20944444,-118.2916667,0.14894736842105263,1.3690000000000002
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
GREAT CHAZY RIVER AT PERRY MILLS NY,44.9996111,-73.5020833,3403.684210526316,3724.0
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
"NB CHICAGO RIVER AT ALBANY AVENUE AT CHICAGO, IL",41.97416667,-87.7058333,1542.9473684210527,1899.5
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",38.9161111,-76.9688611,48.76842105263158,67.97999999999999
SAN LORENZO C A SAN LORENZO CA,37.6840977,-122.1399649,746.7368421052631,950.7
"Prairie Ck at US Hwy 175, Dallas, TX",32.70485346,-96.6699955,481.16315789473686,690.8
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
"GWYNNS FALLS AT WASHINGTON BLVD AT BALTIMORE, MD",39.2715,-76.6485556,2573.315789473684,3115.0
"MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN",44.91552097,-93.2127224,nan,nan
"SNAKE CREEK CANAL AT NW67 AVE NR HIALEAH, FL",25.96425918,-80.310884,nan,nan
SAN LUIS REY R A OCEANSIDE CA,33.21809119,-117.3603162,1485.4263157894738,2731.1099999999997
SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,1228.9473684210527,2099.9
"Greens Bayou at Cutten Rd nr Houston, TX",29.94911178,-95.5196633,nan,nan
"Grammond Creek near Wilbur Park, MO",38.56452778,-90.3093611,11.79,15.488
"Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA",39.97483455,-75.2799067,136.0,192.17000000000002
"MIAMI CANAL AT NW36 ST, MIAMI,FL",25.80843135,-80.2633833,nan,nan
"NB CHICAGO RIVER AT GRAND AVENUE AT CHICAGO, IL",41.8916994,-87.6417198,nan,nan
"WILSON PARK CK @ ST. LUKES HOSPITAL @ MILWAUKEE,WI",42.9897222,-87.9519444,307.7894736842105,370.1
GUADALUPE R AB ALMADEN EXPRESSWAY A SAN JOSE CA,37.28077615,-121.8796764,456.68842105263155,672.1
"RIVER ROUGE AT ALLEN PARK, MI",42.30087127,-83.19937079,nan,nan
"PLANTATION RD CA AT S-33 NR FT LAUDERDALE, FL",26.13508588,-80.1947691,64.51578947368421,101.18999999999998
SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,1228.9473684210527,2099.9
GUADALUPE R AB ALMADEN EXPRESSWAY A SAN JOSE CA,37.28077615,-121.8796764,456.68842105263155,672.1
WILDWOOD CANYON CR A BURBANK CA,34.20944444,-118.2916667,0.14894736842105263,1.3690000000000002
"Brays Bayou at Gessner Dr, Houston, TX",29.6727317,-95.5282765,nan,nan
"WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC",35.77295,-78.7369528,90.91052631578948,122.83
"SOUTH LAKE OUTLET AT S-15, NEAR VINELAND, FL",28.41278456,-81.5378509,34.525263157894734,57.19
Saddle River at Lodi NJ,40.89027778,-74.0805556,1472.6315789473683,1818.9
"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.0420556,nan,nan
SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,1228.9473684210527,2099.9
CONSELYEAS POND TRIBUTARY AT ROSEDALE NY,40.66205556,-73.7433056,39.49473684210527,51.099999999999994
"DETROIT RIVER AT FORT WAYNE AT DETROIT, MI",42.2980939,-83.0926997,235210.52631578947,243500.0
"Ridley Creek at Media, PA",39.9162225,-75.4032496,934.1578947368421,1229.6
SANTIAGO C A SANTA ANA CA,33.7702946,-117.8845014,198.02421052631576,318.78999999999996
SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,1228.9473684210527,2099.9
"WILD RICE RIVER NR ST BENEDICT, ND",46.7169444,-96.8205556,1186.4526315789474,1535.48
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
LEVEE 31 NORTH EXTENSION AT 7 MILE NR WEST MIAMI F,25.66338889,-80.4981667,nan,nan
"NB CHICAGO RIVER AT N PULASKI ROAD AT CHICAGO, IL",41.9747222,-87.7283333,924.4736842105264,1067.5
"NOGALES WASH AT NOGALES, AZ",31.3432722,-110.9316722,266.89473684210526,384.0
CHINO C A SCHAEFER AVENUE NR CHINO CA,34.00390144,-117.7270006,517.7368421052631,727.7
"NB CHICAGO RIVER AT GRAND AVENUE AT CHICAGO, IL",41.8916994,-87.6417198,nan,nan
HENRY STREET CANAL AT BENJAMIN ROAD NEAR TAMPA FL,28.0000972,-82.5417667,nan,nan
"SOUTH BUFFALO CREEK NR POMONA, NC",36.04944444,-79.8552778,371.63157894736844,480.5
JAMUL C NR JAMUL CA,32.6375566,-116.8841893,207.9105263157895,379.12
SAN LORENZO C A SAN LORENZO CA,37.6840977,-122.1399649,746.7368421052631,950.7
"Walnut Creek Upstream Pool, near Erie, PA",42.07388889,-80.2347222,1200.7368421052631,1640.6
"NOGALES WASH AT NOGALES, AZ",31.3432722,-110.9316722,266.89473684210526,384.0
GREAT CHAZY RIVER AT PERRY MILLS NY,44.9996111,-73.5020833,3403.684210526316,3724.0
