POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
239,0,-11.619,264.106
240,0,-11.667,264.124
241,0,-11.716,264.142
242,0,-11.764,264.161
243,0,-11.813,264.179
244,0,-11.861,264.197
245,0,-11.91,264.216
246,0,-11.958,264.234
247,0,-12.007,264.252
248,0,-12.055,264.271
249,0,-12.104,264.289
250,0,-12.152,264.307
251,0,-12.2,264.326
252,0,-12.249,264.344
253,0,-12.297,264.363
254,0,-12.346,264.381
255,0,-12.394,264.399
256,0,-12.443,264.418
257,0,-12.491,264.436
258,0,-12.54,264.455
259,0,-12.588,264.473
260,0,-12.636,264.492
261,0,-12.685,264.51
262,0,-12.733,264.529
263,0,-12.782,264.547
264,0,-12.83,264.566
265,0,-12.879,264.584
266,0,-12.927,264.603
267,0,-12.976,264.621
268,0,-13.024,264.64
269,0,-13.072,264.658
270,0,-13.121,264.677
271,0,-13.169,264.695
272,0,-13.218,264.714
273,0,-13.266,264.733
274,0,-13.314,264.751
275,0,-13.363,264.77
276,0,-13.411,264.788
277,0,-13.46,264.807
278,0,-13.508,264.826
279,0,-13.557,264.844
280,0,-13.605,264.863
281,0,-13.653,264.882
282,0,-13.702,264.9
283,0,-13.75,264.919
284,0,-13.799,264.938
285,0,-13.847,264.956
286,0,-13.895,264.975
287,0,-13.944,264.994
288,0,-13.992,265.012
289,0,-14.04,265.031
290,0,-14.089,265.05
291,0,-14.137,265.069
292,0,-14.186,265.087
293,0,-14.234,265.106
294,0,-14.282,265.125
295,0,-14.331,265.144
296,0,-14.379,265.163
297,0,-14.427,265.181
298,0,-14.476,265.2
299,0,-14.524,265.219
300,0,-14.573,265.238
301,0,-14.621,265.257
302,0,-14.669,265.276
303,0,-14.718,265.294
304,0,-14.766,265.313
305,0,-14.814,265.332
306,0,-14.863,265.351
307,0,-14.911,265.37
308,0,-14.959,265.389
309,0,-15.008,265.408
310,0,-15.056,265.427
311,0,-15.104,265.446
312,0,-15.153,265.465
313,0,-15.201,265.484
314,0,-15.249,265.503
315,0,-15.298,265.522
316,0,-15.346,265.541
317,0,-15.394,265.56
318,0,-15.443,265.579
319,0,-15.491,265.598
320,0,-15.539,265.617
321,0,-15.588,265.636
322,0,-15.636,265.655
323,0,-15.684,265.674
324,0,-15.733,265.693
325,0,-15.781,265.712
326,0,-15.829,265.731
327,0,-15.877,265.751
328,0,-15.926,265.77
329,0,-15.974,265.789
330,0,-16.022,265.808
331,0,-16.071,265.827
332,0,-16.119,265.846
333,0,-16.167,265.866
334,0,-16.215,265.885
335,0,-16.264,265.904
336,0,-16.312,265.923
337,0,-16.36,265.942
338,0,-16.409,265.962
339,0,-16.457,265.981
340,0,-16.505,266.0
341,0,-16.553,266.02
342,0,-16.602,266.039
343,0,-16.65,266.058
344,0,-16.698,266.078
345,0,-16.746,266.097
346,0,-16.795,266.116
347,0,-16.843,266.136
348,0,-16.891,266.155
349,0,-16.939,266.174
350,0,-16.988,266.194
351,0,-17.036,266.213
352,0,-17.084,266.233
353,0,-17.132,266.252
354,0,-17.18,266.271
355,0,-17.229,266.291
356,0,-17.277,266.31
357,0,-17.325,266.33
358,0,-17.373,266.349
359,0,-17.422,266.369
360,0,-17.47,266.388
361,0,-17.518,266.408
362,0,-17.566,266.427
363,0,-17.614,266.447
364,0,-17.663,266.467
365,0,-17.711,266.486
366,0,-17.759,266.506
367,0,-17.807,266.525
368,0,-17.855,266.545
369,0,-17.904,266.565
370,0,-17.952,266.584
371,0,-18.0,266.604
372,0,-18.048,266.624
373,0,-18.096,266.643
374,0,-18.144,266.663
375,0,-18.193,266.683
376,0,-18.241,266.702
377,0,-18.289,266.722
378,0,-18.337,266.742
379,0,-18.385,266.762
380,0,-18.433,266.781
381,0,-18.482,266.801
382,0,-18.53,266.821
383,0,-18.578,266.841
384,0,-18.626,266.861
385,0,-18.674,266.881
386,0,-18.722,266.9
387,0,-18.77,266.92
388,0,-18.819,266.94
389,0,-18.867,266.96
390,0,-18.915,266.98
391,0,-18.963,267.0
392,0,-19.011,267.02
393,0,-19.059,267.04
394,0,-19.107,267.06
395,0,-19.155,267.08
396,0,-19.203,267.1
397,0,-19.252,267.12
398,0,-19.3,267.14
399,0,-19.348,267.16
400,0,-19.396,267.18
401,0,-19.444,267.2
402,0,-19.492,267.22
403,0,-19.54,267.24
404,0,-19.588,267.26
405,0,-19.636,267.28
406,0,-19.684,267.301
407,0,-19.732,267.321
408,0,-19.78,267.341
409,0,-19.828,267.361
410,0,-19.877,267.381
411,0,-19.925,267.402
412,0,-19.973,267.422
413,0,-20.021,267.442
414,0,-20.069,267.462
415,0,-20.117,267.483
416,0,-20.165,267.503
417,0,-20.213,267.523
418,0,-20.261,267.544
419,0,-20.309,267.564
420,0,-20.357,267.584
421,0,-20.405,267.605
422,0,-20.453,267.625
423,0,-20.501,267.645
424,0,-20.549,267.666
425,0,-20.597,267.686
426,0,-20.645,267.707
427,0,-20.693,267.727
428,0,-20.741,267.748
429,0,-20.789,267.768
430,0,-20.837,267.789
431,0,-20.885,267.809
432,0,-20.933,267.83
433,0,-20.981,267.85
434,0,-21.029,267.871
435,0,-21.077,267.891
436,0,-21.125,267.912
437,0,-21.173,267.933
438,0,-21.221,267.953
439,0,-21.269,267.974
440,0,-21.317,267.995
441,0,-21.365,268.015
442,0,-21.413,268.036
443,0,-21.461,268.057
444,0,-21.509,268.077
445,0,-21.556,268.098
446,0,-21.604,268.119
447,0,-21.652,268.14
448,0,-21.7,268.161
449,0,-21.748,268.181
450,0,-21.796,268.202
451,0,-21.844,268.223
452,0,-21.892,268.244
453,0,-21.94,268.265
454,0,-21.988,268.286
455,0,-22.036,268.307
456,0,-22.084,268.328
457,0,-22.131,268.349
458,0,-22.179,268.369
459,0,-22.227,268.39
460,0,-22.275,268.411
461,0,-22.323,268.432
462,0,-22.371,268.454
463,0,-22.419,268.475
464,0,-22.467,268.496
465,0,-22.514,268.517
466,0,-22.562,268.538
467,0,-22.61,268.559
468,0,-22.658,268.58
469,0,-22.706,268.601
470,0,-22.754,268.622
471,0,-22.802,268.644
472,0,-22.849,268.665
473,0,-22.897,268.686
474,0,-22.945,268.707
475,0,-22.993,268.729
476,0,-23.041,268.75
477,0,-23.088,268.771
478,0,-23.136,268.793
479,0,-23.184,268.814
480,0,-23.232,268.835
481,0,-23.28,268.857
482,0,-23.327,268.878
483,0,-23.375,268.899
484,0,-23.423,268.921
