POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
0,0,52.342,114.953
1,0,52.382,115.007
2,0,52.422,115.061
3,0,52.462,115.115
4,0,52.501,115.17
5,0,52.541,115.224
6,0,52.581,115.278
7,0,52.621,115.333
8,0,52.661,115.387
9,0,52.7,115.442
10,0,52.74,115.497
11,0,52.78,115.552
12,0,52.819,115.607
13,0,52.859,115.662
14,0,52.898,115.717
15,0,52.938,115.773
16,0,52.977,115.828
17,0,53.017,115.884
18,0,53.056,115.939
19,0,53.096,115.995
20,0,53.135,116.051
21,0,53.174,116.107
22,0,53.214,116.163
23,0,53.253,116.219
24,0,53.292,116.276
25,0,53.332,116.332
26,0,53.371,116.389
27,0,53.41,116.445
28,0,53.449,116.502
29,0,53.488,116.559
30,0,53.527,116.616
31,0,53.566,116.673
32,0,53.605,116.73
33,0,53.644,116.788
34,0,53.683,116.845
35,0,53.722,116.903
36,0,53.761,116.961
37,0,53.8,117.018
38,0,53.839,117.076
39,0,53.878,117.134
40,0,53.916,117.193
41,0,53.955,117.251
42,0,53.994,117.309
43,0,54.032,117.368
44,0,54.071,117.426
45,0,54.11,117.485
46,0,54.148,117.544
47,0,54.187,117.603
48,0,54.225,117.662
49,0,54.264,117.721
50,0,54.302,117.781
51,0,54.341,117.84
52,0,54.379,117.9
53,0,54.417,117.959
54,0,54.456,118.019
55,0,54.494,118.079
56,0,54.532,118.139
57,0,54.57,118.199
58,0,54.608,118.259
59,0,54.647,118.32
60,0,54.685,118.38
61,0,54.723,118.441
62,0,54.761,118.502
63,0,54.799,118.563
64,0,54.837,118.624
65,0,54.875,118.685
66,0,54.912,118.746
67,0,54.95,118.808
68,0,54.988,118.869
69,0,55.026,118.931
70,0,55.064,118.992
71,0,55.101,119.054
72,0,55.139,119.116
73,0,55.177,119.178
74,0,55.214,119.241
75,0,55.252,119.303
76,0,55.289,119.366
77,0,55.327,119.428
78,0,55.364,119.491
79,0,55.402,119.554
80,0,55.439,119.617
81,0,55.476,119.68
82,0,55.514,119.743
83,0,55.551,119.807
84,0,55.588,119.87
85,0,55.625,119.934
86,0,55.662,119.998
87,0,55.7,120.061
88,0,55.737,120.126
89,0,55.774,120.19
90,0,55.811,120.254
91,0,55.848,120.318
92,0,55.885,120.383
93,0,55.921,120.448
94,0,55.958,120.512
95,0,55.995,120.577
96,0,56.032,120.643
97,0,56.069,120.708
98,0,56.105,120.773
99,0,56.142,120.839
100,0,56.179,120.904
101,0,56.215,120.97
102,0,56.252,121.036
103,0,56.288,121.102
104,0,56.325,121.168
105,0,56.361,121.234
106,0,56.397,121.301
107,0,56.434,121.367
108,0,56.47,121.434
109,0,56.506,121.501
110,0,56.543,121.568
111,0,56.579,121.635
112,0,56.615,121.702
113,0,56.651,121.769
114,0,56.687,121.837
115,0,56.723,121.904
116,0,56.759,121.972
117,0,56.795,122.04
118,0,56.831,122.108
119,0,56.867,122.176
120,0,56.902,122.245
121,0,56.938,122.313
122,0,56.974,122.382
123,0,57.01,122.451
124,0,57.045,122.519
125,0,57.081,122.588
126,0,57.116,122.658
127,0,57.152,122.727
128,0,57.187,122.796
129,0,57.223,122.866
130,0,57.258,122.936
131,0,57.293,123.006
132,0,57.329,123.076
133,0,57.364,123.146
134,0,57.399,123.216
135,0,57.434,123.287
136,0,57.469,123.357
137,0,57.504,123.428
138,0,57.539,123.499
139,0,57.574,123.57
140,0,57.609,123.641
141,0,57.644,123.712
142,0,57.679,123.784
143,0,57.714,123.855
144,0,57.749,123.927
145,0,57.783,123.999
146,0,57.818,124.071
147,0,57.853,124.143
148,0,57.887,124.215
149,0,57.922,124.288
150,0,57.956,124.361
151,0,57.991,124.433
152,0,58.025,124.506
153,0,58.059,124.579
154,0,58.094,124.653
155,0,58.128,124.726
156,0,58.162,124.799
157,0,58.196,124.873
158,0,58.23,124.947
159,0,58.264,125.021
160,0,58.298,125.095
161,0,58.332,125.169
162,0,58.366,125.244
163,0,58.4,125.318
164,0,58.434,125.393
165,0,58.468,125.468
166,0,58.501,125.543
167,0,58.535,125.618
168,0,58.568,125.693
169,0,58.602,125.769
170,0,58.636,125.844
171,0,58.669,125.92
172,0,58.702,125.996
173,0,58.736,126.072
174,0,58.769,126.148
175,0,58.802,126.225
176,0,58.836,126.301
177,0,58.869,126.378
178,0,58.902,126.455
179,0,58.935,126.532
180,0,58.968,126.609
181,0,59.001,126.687
182,0,59.034,126.764
183,0,59.067,126.842
184,0,59.099,126.919
185,0,59.132,126.997
186,0,59.165,127.076
187,0,59.198,127.154
188,0,59.23,127.232
189,0,59.263,127.311
190,0,59.295,127.39
191,0,59.328,127.468
192,0,59.36,127.547
193,0,59.392,127.627
194,0,59.425,127.706
195,0,59.457,127.786
196,0,59.489,127.865
197,0,59.521,127.945
198,0,59.553,128.025
199,0,59.585,128.105
200,0,59.617,128.186
201,0,59.649,128.266
202,0,59.681,128.347
203,0,59.713,128.428
204,0,59.744,128.509
205,0,59.776,128.59
206,0,59.808,128.671
207,0,59.839,128.753
208,0,59.871,128.834
209,0,59.902,128.916
210,0,59.934,128.998
211,0,59.965,129.08
212,0,59.996,129.162
213,0,60.028,129.245
214,0,60.059,129.327
215,0,60.09,129.41
216,0,60.121,129.493
217,0,60.152,129.576
218,0,60.183,129.659
219,0,60.214,129.743
220,0,60.245,129.826
221,0,60.275,129.91
222,0,60.306,129.994
223,0,60.337,130.078
224,0,60.367,130.162
225,0,60.398,130.247
226,0,60.428,130.331
227,0,60.459,130.416
228,0,60.489,130.501
229,0,60.519,130.586
230,0,60.55,130.671
231,0,60.58,130.757
232,0,60.61,130.842
233,0,60.64,130.928
234,0,60.67,131.014
235,0,60.7,131.1
236,0,60.73,131.187
237,0,60.76,131.273
238,0,60.789,131.36
239,0,60.819,131.446
240,0,60.849,131.533
241,0,60.878,131.62
242,0,60.908,131.708
243,0,60.937,131.795
