lat,lon,time
42.42888889,-124.4122222,27626.58958099928
48.905,-116.4019444,53644.878915001755
30.17647778,-97.5869167,119001.36401799682
29.92105823,-95.840229,119415.91561999667
21.39416667,-157.749361,221279.31924499717
21.5523611,-158.0655833,221634.17944400135
21.4973611,-157.9807222,221963.01764399686
38.01645276,-85.30773099,435737.88032500306
41.88836638,-87.6075518,436081.8009170034
44.19563889,-89.4174722,611407.7818239967
44.8875,-88.4722222,611787.6502279978
41.12875,-76.3034722,617535.6824030023
47.8686089,-98.3578795,735222.9412539965
35.41007829,-86.0697088,793475.9118689981
41.31055556,-71.8583333,1024965.6097330007
45.2073611,-118.0205,1212359.7835460023
33.2531111,-81.16125,1280409.2139519998
33.24428056,-79.9913028,1280928.397249998
