lat,lon,time
-16.64,28.56,10109.75723300362
-15.895833,31.1375,10272.293832997093
-7.74,31.94,10375.341234001098
-10.87,34.41,10524.827134002408
-8.454166,32.620834,10616.030334997049
-11.8625,34.295834,10746.892734998255
64.33,27.31,30311.934917001054
64.27917,27.279167,30489.239508999162
58.58,27.49,43109.12858299707
60.94,31.61,43278.254374003154
61.19,28.61,43464.07146399724
57.8625,27.9625,43600.292757000716
59.945835,31.504168,43772.2714479969
61.170834,28.445833,43929.43624000327
60.0375,-162.4625,258991.84797499765
53.78,-75.5,327024.0967510035
46.81,-87.01999999999998,333430.5109170018
44.05,-88.39999999999998,333622.6820180018
45.8125,-87.02917,333776.33381800115
43.204166,-87.870834,333950.06701799866
57.89,-156.4,345496.4190180035
65.9,-120.19999999999999,406702.198469
63.204166,-117.34583,406943.98486400314
63.845833,-121.80417,407196.9463589994
51.420834,136.50417,450507.829260001
-15.4375,35.6625,482601.31454699876
58.7,56.11,529824.6274859994
-3.5875,-64.97083,547033.1379740019
-4.4375,-63.470833,547207.1213739982
-4.070833,-63.1875,547367.104074001
49.74,-88.47000000000003,560442.4965200014
48.745834,-88.520836,560618.5823150008
59.18,13.64,561323.381893999
58.495834,13.2375,561493.746690001
56.479168,8.670834,561641.0247849999
64.17,-95.48000000000002,573309.6374939997
64.76,-97.60000000000002,573599.9559769989
47.754166,16.729166,622136.6525409976
-11.029166,-42.7625,627093.8853510015
12.99,14.39,701616.4540059981
-16.845833,28.2125,741688.5693639996
55.42,-114.93,765029.2819829993
55.320835,-114.84583,765209.9849799997
42.12,-81.47000000000003,899533.3579419967
41.495834,-81.92083,899939.2027360009
-33.36,-53.0,1019710.4266599999
-34.0875,-53.679165,1019887.1904600018
58.45,38.53,1048015.2252519983
58.029167,38.395832,1048159.9589519973
51.32,100.5,1227798.590962004
66.14,-71.02999999999997,1251824.7046100004
64.89,-71.16000000000003,1251993.7574089998
61.52,35.55,1319907.5652469983
63.179165,33.770832,1320084.6160479996
48.22,43.09,1326549.2214390032
50.2625,46.295834,1326744.7702369974
52.0625,47.779167,1326925.9892350018
59.66,-154.77,1350327.167565003
62.92,-101.37,1357133.572234001
57.24,-98.38999999999999,1357293.3613330023
58.27,-103.35000000000002,1357473.7700320038
-21.379168,-49.645832,1358749.4113299982
-18.504168,-47.954166,1358933.8220299978
-18.645834,-49.395832,1359118.329529003
12.09,37.41,1380124.9548129998
7.4041667,38.5625,1380319.8139130035
11.620833,37.395832,1380508.5563129978
46.56,74.79,1406877.1688929992
45.745834,74.2125,1407056.5085929993
49.05,-95.0,1417892.1955789994
48.054165,-95.0875,1418059.994479001
49.720833,-92.7875,1418220.8934790033
-41.120834,-71.34583,1538018.9726079989
59.13,-110.12,1616218.9464559997
61.51,-114.91,1616397.5824560039
58.629166,-110.4375,1616584.8088560016
58.329166,-112.07083,1616720.2518560006
52.05,136.68,1621628.1971479985
44.42,-110.34,1676934.8853760022
44.5375,-110.3125,1677121.6511759995
41.954166,-111.29583,1677336.1180770006
44.5625,-116.104164,1709204.8901110028
-50.22,-72.23000000000002,1797327.9191589972
54.71,-107.33000000000001,2022593.792915999
54.420834,-107.45417,2022746.0768160017
55.12,91.77,2059649.8469790022
54.245834,91.42917,2059892.3824750017
47.68,93.53,2085336.980781998
48.06,93.14,2085494.8718820014
47.579166,93.4875,2085696.5770820025
43.59,-77.44999999999999,2096398.9043839974
49.07,117.57,2165543.5661090016
48.604168,117.229164,2165787.8936120034
47.5875,42.320835,2184009.7501810016
-25.23,-54.49000000000001,2216299.315736003
-25.420834,-54.545834,2216482.1520339972
54.03,-99.87,2301119.846677997
53.18,-98.27999999999997,2301306.2637819964
57.68,-101.99000000000001,2301503.5866870023
53.22,-100.19,2301676.934492003
53.104168,-99.8625,2301852.0854960005
53.479168,-103.854164,2302024.5826000026
54.079166,81.40417,2318744.4475329975
52.76,5.32,2337271.0654530018
46.8625,87.3875,2344509.2207909985
26.579166,-99.17917,2355122.081579
42.43,-86.88999999999999,2355397.0299810027
