lat,lon,mean,sd,pop,floodpercent
45.591934,47.717708,32516.78831,17124.34041,96795.898,0.676525810617022
59.95278,31.032851,24035.09111,16868.80687,2892.29,0.44573864818085
52.234393,104.321875,29682.75819,18526.62822,2901.79,0.491085535031743
46.385417,74.602083,19358.44469,13444.6251,5826.35,0.63533891539555
44.90625,59.714583,35280.97054,19304.26935,24424.199,0.73631482955534
41.056625,52.912913,25095.10108,15210.6283,25.576,0.090583488927223
13.077083,14.527083,25904.03824,16903.6597,44818.801,0.424550201860257
0.430999,33.193791,25815.20135,12549.96662,45977.898,0.521009083022364
-5.91118,29.185417,28670.25852,19460.31212,14178.1,0.585700784227811
-14.417702,35.236458,29346.59982,17833.64545,10097.6,0.80920995969791
75.220969,100.089583,26952.33037,14771.32846,3.749,0.238501915358938
68.881285,28.281226,20279.47037,5894.534502,5.157,0.307646205299534
68.12483,87.761458,20482.08539,10888.27781,0.66,0.142611940274946
67.411458,32.555208,28464.35437,15872.80478,120.39,0.020804998115637
63.868409,34.380735,26701.48976,17040.79985,30.38,0.145383618189953
63.034291,112.477083,30240.68175,18542.7844,44.825,0.656443418585695
62.305267,27.912,29386.63122,19170.67696,213.848,0.816991901607253
61.283832,25.596449,27993.78935,14370.5835,298.104,0.075981485075317
61.227083,28.78125,30186.54469,19023.76204,542.246,0.253978474647738
60.919873,34.161458,24223.82258,12708.77107,402.941,0.581208940944634
60.043396,38.101519,21718.74513,15003.13951,32.162,0.26335056766402
59.321843,18.070995,32610.49387,17793.71717,1866.45,0.928497539018281
58.985292,27.73114,28367.78089,16294.10795,766.417,0.133333499892615
58.532267,15.039006,20905.02925,10043.51596,199.272,0.666359507129528
58.368979,12.368581,28323.1267,18058.00104,704.73,0.811107749002986
58.115984,56.339502,33579.95595,20644.665,2431.9,0.248572621378116
58.102088,38.702039,27846.38219,18253.10309,2645.28,0.507956819026731
57.976665,102.668786,16758.16926,7859.90891,4815.79,0.634045094368048
56.665099,43.385169,21771.35334,9130.438812,4634.29,0.143295209971257
56.284112,101.785413,22119.51629,15297.23636,4577.95,0.476639087195508
56.139583,47.463401,24988.38824,19381.64047,35749.699,0.1802767716581
55.93397,92.29324,28897.40425,16925.47292,1039.53,0.537710009957664
54.842791,83.001042,17325.64741,9898.335683,2784.44,0.827985208365135
54.797917,76.885417,21928.86571,14737.03553,95.104,0.068624179926701
53.770578,127.306854,16109.76241,8901.524623,52.869,0.289323088130914
53.458111,49.496391,26550.61896,14239.4728,53227.301,0.682689126697369
52.614583,5.647917,26749.33113,18259.09121,2735.06,0.167737322044559
52.053704,47.757833,52436.98512,11146.83825,56318.898,0.177708216593601
50.423719,100.152026,22819.05109,12664.40137,3.689,0.64137200161349
50.410417,68.89375,35278.94315,17565.21817,971.725,0.155453804996796
50.277083,92.710417,29376.69594,10490.3181,83.248,0.95843216648791
49.655849,83.34758,23271.37027,8446.542483,704.105,0.408075443119742
49.366475,117.712696,23718.87661,13308.79838,214.229,0.462979607167654
49.114583,93.402083,31338.05533,19369.67285,185.579,0.621544885798357
49.081155,33.247337,32098.324,15993.36713,20531.4,0.454146649106406
48.827083,44.68125,27924.57812,18380.97383,58571.898,0.398600853397511
48.321905,92.529583,28147.47683,19375.81203,133.147,0.777362474589609
