POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
0,0,0.0,259.878
1,0,0.06,259.865
2,0,0.12,259.853
3,0,0.18,259.84
4,0,0.24,259.827
5,0,0.301,259.814
6,0,0.361,259.801
7,0,0.421,259.788
8,0,0.481,259.776
9,0,0.541,259.763
10,0,0.601,259.75
11,0,0.661,259.737
12,0,0.721,259.724
13,0,0.781,259.711
14,0,0.842,259.699
15,0,0.902,259.686
16,0,0.962,259.673
17,0,1.022,259.66
18,0,1.082,259.647
19,0,1.142,259.634
20,0,1.202,259.622
21,0,1.262,259.609
22,0,1.322,259.596
23,0,1.382,259.583
24,0,1.443,259.57
25,0,1.503,259.557
26,0,1.563,259.545
27,0,1.623,259.532
28,0,1.683,259.519
29,0,1.743,259.506
30,0,1.803,259.493
31,0,1.863,259.48
32,0,1.923,259.468
33,0,1.984,259.455
34,0,2.044,259.442
35,0,2.104,259.429
36,0,2.164,259.416
37,0,2.224,259.403
38,0,2.284,259.391
39,0,2.344,259.378
40,0,2.404,259.365
41,0,2.464,259.352
42,0,2.525,259.339
43,0,2.585,259.326
44,0,2.645,259.313
45,0,2.705,259.301
46,0,2.765,259.288
47,0,2.825,259.275
48,0,2.885,259.262
49,0,2.945,259.249
50,0,3.005,259.236
51,0,3.065,259.224
52,0,3.126,259.211
53,0,3.186,259.198
54,0,3.246,259.185
55,0,3.306,259.172
56,0,3.366,259.159
57,0,3.426,259.146
58,0,3.486,259.134
59,0,3.546,259.121
60,0,3.606,259.108
61,0,3.667,259.095
62,0,3.727,259.082
63,0,3.787,259.069
64,0,3.847,259.056
65,0,3.907,259.043
66,0,3.967,259.031
67,0,4.027,259.018
68,0,4.087,259.005
69,0,4.147,258.992
70,0,4.207,258.979
71,0,4.268,258.966
72,0,4.328,258.953
73,0,4.388,258.94
74,0,4.448,258.928
75,0,4.508,258.915
76,0,4.568,258.902
77,0,4.628,258.889
78,0,4.688,258.876
79,0,4.748,258.863
80,0,4.809,258.85
81,0,4.869,258.837
82,0,4.929,258.824
83,0,4.989,258.812
84,0,5.049,258.799
85,0,5.109,258.786
86,0,5.169,258.773
87,0,5.229,258.76
88,0,5.289,258.747
89,0,5.349,258.734
90,0,5.41,258.721
91,0,5.47,258.708
92,0,5.53,258.695
93,0,5.59,258.683
94,0,5.65,258.67
95,0,5.71,258.657
96,0,5.77,258.644
97,0,5.83,258.631
98,0,5.89,258.618
99,0,5.95,258.605
100,0,6.011,258.592
101,0,6.071,258.579
102,0,6.131,258.566
103,0,6.191,258.553
104,0,6.251,258.54
105,0,6.311,258.528
106,0,6.371,258.515
107,0,6.431,258.502
108,0,6.491,258.489
109,0,6.551,258.476
110,0,6.612,258.463
111,0,6.672,258.45
112,0,6.732,258.437
113,0,6.792,258.424
114,0,6.852,258.411
115,0,6.912,258.398
116,0,6.972,258.385
117,0,7.032,258.372
118,0,7.092,258.359
119,0,7.152,258.346
120,0,7.213,258.333
121,0,7.273,258.32
122,0,7.333,258.307
123,0,7.393,258.294
124,0,7.453,258.281
125,0,7.513,258.268
126,0,7.573,258.255
127,0,7.633,258.242
128,0,7.693,258.229
129,0,7.753,258.216
130,0,7.813,258.203
131,0,7.874,258.19
132,0,7.934,258.177
133,0,7.994,258.164
134,0,8.054,258.151
135,0,8.114,258.138
136,0,8.174,258.125
137,0,8.234,258.112
138,0,8.294,258.099
139,0,8.354,258.086
140,0,8.414,258.073
141,0,8.475,258.06
142,0,8.535,258.047
143,0,8.595,258.034
144,0,8.655,258.021
145,0,8.715,258.008
146,0,8.775,257.995
147,0,8.835,257.982
148,0,8.895,257.969
149,0,8.955,257.956
150,0,9.015,257.943
151,0,9.075,257.93
152,0,9.136,257.917
153,0,9.196,257.904
154,0,9.256,257.891
155,0,9.316,257.878
156,0,9.376,257.865
157,0,9.436,257.852
158,0,9.496,257.839
159,0,9.556,257.826
160,0,9.616,257.812
161,0,9.676,257.799
162,0,9.736,257.786
163,0,9.796,257.773
164,0,9.857,257.76
165,0,9.917,257.747
166,0,9.977,257.734
167,0,10.037,257.721
168,0,10.097,257.708
169,0,10.157,257.695
170,0,10.217,257.682
171,0,10.277,257.668
172,0,10.337,257.655
173,0,10.397,257.642
174,0,10.457,257.629
175,0,10.518,257.616
176,0,10.578,257.603
177,0,10.638,257.59
178,0,10.698,257.577
179,0,10.758,257.563
180,0,10.818,257.55
181,0,10.878,257.537
182,0,10.938,257.524
183,0,10.998,257.511
184,0,11.058,257.498
185,0,11.118,257.485
186,0,11.178,257.471
187,0,11.239,257.458
188,0,11.299,257.445
189,0,11.359,257.432
190,0,11.419,257.419
191,0,11.479,257.405
192,0,11.539,257.392
193,0,11.599,257.379
194,0,11.659,257.366
195,0,11.719,257.353
196,0,11.779,257.34
197,0,11.839,257.326
198,0,11.899,257.313
199,0,11.959,257.3
200,0,12.02,257.287
201,0,12.08,257.273
202,0,12.14,257.26
203,0,12.2,257.247
204,0,12.26,257.234
205,0,12.32,257.221
206,0,12.38,257.207
207,0,12.44,257.194
208,0,12.5,257.181
209,0,12.56,257.168
210,0,12.62,257.154
211,0,12.68,257.141
212,0,12.74,257.128
213,0,12.801,257.114
214,0,12.861,257.101
215,0,12.921,257.088
216,0,12.981,257.075
217,0,13.041,257.061
218,0,13.101,257.048
219,0,13.161,257.035
220,0,13.221,257.021
221,0,13.281,257.008
222,0,13.341,256.995
223,0,13.401,256.981
224,0,13.461,256.968
225,0,13.521,256.955
226,0,13.581,256.941
227,0,13.641,256.928
228,0,13.702,256.915
229,0,13.762,256.901
230,0,13.822,256.888
231,0,13.882,256.875
232,0,13.942,256.861
233,0,14.002,256.848
234,0,14.062,256.835
235,0,14.122,256.821
236,0,14.182,256.808
237,0,14.242,256.795
238,0,14.302,256.781
239,0,14.362,256.768
240,0,14.422,256.754
241,0,14.482,256.741
242,0,14.542,256.728
243,0,14.603,256.714
244,0,14.663,256.701
245,0,14.723,256.687
246,0,14.783,256.674
247,0,14.843,256.66
248,0,14.903,256.647
249,0,14.963,256.634
250,0,15.023,256.62
251,0,15.083,256.607
252,0,15.143,256.593
253,0,15.203,256.58
254,0,15.263,256.566
255,0,15.323,256.553
256,0,15.383,256.539
257,0,15.443,256.526
258,0,15.503,256.512
259,0,15.563,256.499
260,0,15.624,256.485
261,0,15.684,256.472
262,0,15.744,256.458
263,0,15.804,256.445
264,0,15.864,256.431
265,0,15.924,256.418
266,0,15.984,256.404
267,0,16.044,256.391
268,0,16.104,256.377
269,0,16.164,256.364
270,0,16.224,256.35
271,0,16.284,256.336
272,0,16.344,256.323
273,0,16.404,256.309
274,0,16.464,256.296
275,0,16.524,256.282
276,0,16.584,256.269
277,0,16.644,256.255
278,0,16.704,256.241
279,0,16.764,256.228
280,0,16.825,256.214
281,0,16.885,256.2
282,0,16.945,256.187
283,0,17.005,256.173
284,0,17.065,256.16
285,0,17.125,256.146
286,0,17.185,256.132
287,0,17.245,256.119
288,0,17.305,256.105
289,0,17.365,256.091
290,0,17.425,256.078
291,0,17.485,256.064
292,0,17.545,256.05
293,0,17.605,256.037
294,0,17.665,256.023
295,0,17.725,256.009
296,0,17.785,255.995
297,0,17.845,255.982
298,0,17.905,255.968
299,0,17.965,255.954
300,0,18.025,255.94
301,0,18.085,255.927
302,0,18.145,255.913
303,0,18.205,255.899
304,0,18.265,255.885
305,0,18.325,255.872
306,0,18.386,255.858
307,0,18.446,255.844
308,0,18.506,255.83
309,0,18.566,255.817
310,0,18.626,255.803
311,0,18.686,255.789
312,0,18.746,255.775
313,0,18.806,255.761
314,0,18.866,255.747
315,0,18.926,255.734
316,0,18.986,255.72
317,0,19.046,255.706
318,0,19.106,255.692
319,0,19.166,255.678
320,0,19.226,255.664
321,0,19.286,255.65
322,0,19.346,255.636
323,0,19.406,255.623
324,0,19.466,255.609
325,0,19.526,255.595
326,0,19.586,255.581
327,0,19.646,255.567
328,0,19.706,255.553
329,0,19.766,255.539
330,0,19.826,255.525
331,0,19.886,255.511
332,0,19.946,255.497
333,0,20.006,255.483
334,0,20.066,255.469
335,0,20.126,255.455
336,0,20.186,255.441
337,0,20.246,255.427
338,0,20.306,255.413
339,0,20.366,255.399
340,0,20.426,255.385
341,0,20.486,255.371
342,0,20.546,255.357
343,0,20.606,255.343
344,0,20.666,255.329
345,0,20.726,255.315
346,0,20.786,255.301
347,0,20.846,255.287
348,0,20.906,255.273
349,0,20.966,255.259
350,0,21.026,255.244
351,0,21.086,255.23
352,0,21.146,255.216
353,0,21.206,255.202
354,0,21.266,255.188
355,0,21.326,255.174
356,0,21.386,255.16
357,0,21.446,255.146
358,0,21.506,255.131
359,0,21.566,255.117
360,0,21.626,255.103
361,0,21.686,255.089
362,0,21.746,255.075
363,0,21.806,255.06
364,0,21.866,255.046
365,0,21.926,255.032
366,0,21.986,255.018
367,0,22.046,255.003
368,0,22.106,254.989
369,0,22.166,254.975
370,0,22.226,254.961
371,0,22.286,254.946
372,0,22.346,254.932
373,0,22.406,254.918
374,0,22.466,254.904
375,0,22.526,254.889
376,0,22.586,254.875
377,0,22.646,254.861
378,0,22.706,254.846
379,0,22.766,254.832
380,0,22.826,254.818
381,0,22.886,254.803
382,0,22.946,254.789
383,0,23.006,254.774
384,0,23.066,254.76
385,0,23.126,254.746
386,0,23.186,254.731
387,0,23.246,254.717
388,0,23.306,254.702
389,0,23.366,254.688
390,0,23.426,254.673
391,0,23.486,254.659
392,0,23.546,254.645
393,0,23.606,254.63
394,0,23.666,254.616
395,0,23.726,254.601
396,0,23.786,254.587
397,0,23.846,254.572
398,0,23.906,254.558
399,0,23.966,254.543
400,0,24.026,254.528
401,0,24.086,254.514
402,0,24.146,254.499
403,0,24.206,254.485
404,0,24.266,254.47
405,0,24.326,254.456
406,0,24.386,254.441
407,0,24.446,254.426
408,0,24.506,254.412
409,0,24.566,254.397
410,0,24.626,254.383
411,0,24.686,254.368
412,0,24.746,254.353
413,0,24.806,254.339
414,0,24.866,254.324
415,0,24.925,254.309
416,0,24.985,254.294
417,0,25.045,254.28
418,0,25.105,254.265
419,0,25.165,254.25
420,0,25.225,254.236
421,0,25.285,254.221
422,0,25.345,254.206
423,0,25.405,254.191
424,0,25.465,254.176
425,0,25.525,254.162
426,0,25.585,254.147
427,0,25.645,254.132
428,0,25.705,254.117
429,0,25.765,254.102
430,0,25.825,254.088
