lat,lon,time,water_level,flood_level
41.81694444,-87.75388889,0,-1.86,-2.03
44.9305688,-84.69225229,0,3.59,3.7
33.60702778,-81.1356111,0,9.65,9.53
32.32236057,-86.7838712,0,102.92,96.93900000000001
34.62925,-84.9171944,0,10.92,5.3969999999999985
29.50858114,-81.80480679,0,20.26,19.94
32.44902654,-85.897458,0,14.48,13.33
21.39416667,-157.749361,0,5.85,5.23
29.0491611,-95.4775222,3600,12.19,12.712000000000002
44.7514861,-122.2833778,3600,1113.04,1112.96
40.38555556,-78.6758333,3600,2.26,2.25
44.9305688,-84.69225229,3600,3.59,3.7
48.0333506,-106.0005722,3600,47.47,45.55
29.9511111,-92.1563611,3600,6.33,5.88
44.19563889,-89.4174722,3600,99.28,98.47
34.68555556,-83.1516667,3600,8.82,8.77
29.51745517,-95.178544,7200,2.23,1.99
45.2073611,-118.0205,7200,27.2,27.17
44.19563889,-89.4174722,7200,99.28,98.47
32.7773528,-87.841402,7200,87.41,83.65200000000002
32.40569225,-87.0186007,7200,30.53,26.130000000000003
35.41007829,-86.0697088,7200,10.7,11.63
32.32236057,-86.7838712,7200,103.05,96.93900000000001
34.01398655,-85.9702488,7200,22.66,22.1
21.4973611,-157.9807222,7200,19.18,17.23
29.0491611,-95.4775222,10800,12.17,12.712000000000002
48.905,-116.4019444,10800,49.94,50.875
44.722,-122.251,10800,1202.96,1202.131
32.7804544,-79.923699,10800,20.86,18.83
33.60702778,-81.1356111,10800,9.66,9.53
33.47366667,-81.2089167,10800,4.64,4.677
28.59249809,-81.8225775,10800,95.05,95.39
35.41007829,-86.0697088,10800,10.71,11.63
32.32513829,-86.7847045,10800,125.58,125.39
34.0103752,-85.9977494,10800,22.23,21.87
40.7378353,-82.36321869,14400,4.63,4.4270000000000005
40.6203379,-82.3243284,14400,3.3,3.1420000000000003
41.12875,-76.3034722,14400,2.27,2.1840000000000006
33.20850056,-79.382558,14400,6.75,6.56
44.19563889,-89.4174722,14400,99.28,98.47
43.98244444,-89.5480556,14400,14.44,14.38
28.59249809,-81.8225775,14400,95.05,95.39
33.2531111,-81.16125,14400,6.64,5.886
32.10070089,-87.3991621,14400,80.51,80.35
32.7773528,-87.841402,14400,87.31,83.65200000000002
32.40569225,-87.0186007,14400,30.73,26.130000000000003
32.91819444,-85.1878611,14400,564.98,562.2280000000001
21.4973611,-157.9807222,14400,17.23,17.23
43.06817778,-124.1078444,18000,17.01,16.98
30.17647778,-97.5869167,18000,11.02,10.8
40.6203379,-82.3243284,18000,3.29,3.1420000000000003
44.4492944,-122.5496667,18000,702.04,701.5169999999999
44.9305688,-84.69225229,18000,3.58,3.7
41.31055556,-71.8583333,18000,2.38,0.34
30.41746058,-81.69648758,18000,1.24,0.73
32.10014534,-87.39777319,18000,53.82,51.733
38.1875,-88.9272222,18000,12.1,12.06
34.01398655,-85.9702488,18000,22.63,22.1
41.81694444,-87.75388889,21600,-1.76,-2.03
