lat,lon,time,water_level,flood_level
44.9305688,-84.69225229,0,3.59,3.218
29.0491611,-95.4775222,3600,12.19,12.170000000000002
44.9305688,-84.69225229,3600,3.59,3.218
44.19563889,-89.4174722,3600,99.28,91.551
45.2073611,-118.0205,7200,27.2,27.163999999999998
44.19563889,-89.4174722,7200,99.28,91.551
35.41007829,-86.0697088,7200,10.7,10.281
21.4973611,-157.9807222,7200,19.18,17.168
32.7804544,-79.923699,10800,20.86,19.976000000000003
33.47366667,-81.2089167,10800,4.64,4.630999999999999
35.41007829,-86.0697088,10800,10.71,10.281
41.12875,-76.3034722,14400,2.27,2.2059999999999995
44.19563889,-89.4174722,14400,99.28,91.551
43.98244444,-89.5480556,14400,14.44,13.719
33.2531111,-81.16125,14400,6.64,5.790000000000001
21.4973611,-157.9807222,14400,17.23,17.168
30.17647778,-97.5869167,18000,11.02,10.980999999999998
44.9305688,-84.69225229,18000,3.58,3.218
41.31055556,-71.8583333,18000,2.38,1.167
41.31055556,-71.8583333,21600,2.73,1.167
32.7804544,-79.923699,21600,22.39,19.976000000000003
35.41007829,-86.0697088,21600,10.71,10.281
41.67891099,-88.000967,25200,25.69,25.332
30.41746058,-81.69648758,25200,2.06,1.573
21.4973611,-157.9807222,25200,17.23,17.168
30.45494167,-81.59688889,28800,2.21,1.7480000000000004
21.39416667,-157.749361,28800,6.03,5.998
42.42888889,-124.4122222,32400,8.54,7.427000000000001
45.2073611,-118.0205,32400,27.19,27.163999999999998
41.12875,-76.3034722,32400,2.25,2.2059999999999995
30.63935956,-88.3930674,32400,11.07,10.465
41.88836638,-87.6075518,36000,2.05,1.08
30.17647778,-97.5869167,36000,11.03,10.980999999999998
41.12875,-76.3034722,36000,2.25,2.2059999999999995
44.19563889,-89.4174722,36000,99.27,91.551
33.24042765,-81.40816269,36000,7.24,6.832999999999998
41.88836638,-87.6075518,39600,1.95,1.08
42.42888889,-124.4122222,39600,7.66,7.427000000000001
47.8686089,-98.3578795,39600,47.15,43.098
33.2531111,-81.16125,39600,6.5,5.790000000000001
33.24042765,-81.40816269,39600,7.23,6.832999999999998
21.39416667,-157.749361,39600,6.31,5.998
21.4973611,-157.9807222,39600,17.23,17.168
41.88836638,-87.6075518,43200,1.88,1.08
44.9305688,-84.69225229,43200,3.58,3.218
48.65913889,-121.2890278,43200,29.39,28.172000000000004
29.0811111,-81.8808333,43200,58.95,58.855999999999995
41.67891099,-88.000967,46800,25.56,25.332
33.24428056,-79.9913028,46800,9.84,9.818
44.19563889,-89.4174722,46800,99.27,91.551
33.24042765,-81.40816269,46800,7.2,6.832999999999998
21.4973611,-157.9807222,46800,17.23,17.168
41.88836638,-87.6075518,50400,2.25,1.08
45.2073611,-118.0205,50400,27.18,27.163999999999998
41.67891099,-88.000967,50400,25.55,25.332
39.2206139,-84.4468864,50400,11.09,10.619
44.8875,-88.4722222,50400,93.97,93.949
47.8686089,-98.3578795,50400,47.13,43.098
21.39416667,-157.749361,50400,6.84,5.998
30.17647778,-97.5869167,54000,11.03,10.980999999999998
43.98244444,-89.5480556,54000,14.44,13.719
41.12875,-76.3034722,57600,2.25,2.2059999999999995
41.67891099,-88.000967,57600,25.53,25.332
38.01645276,-85.30773099,57600,50.64,50.232
44.8875,-88.4722222,57600,93.97,93.949
30.63935956,-88.3930674,57600,11.08,10.465
33.24042765,-81.40816269,57600,7.16,6.832999999999998
30.17647778,-97.5869167,61200,11.03,10.980999999999998
45.2073611,-118.0205,61200,27.18,27.163999999999998
39.27339134,-84.4110524,61200,4.65,3.5559999999999996
44.19563889,-89.4174722,61200,99.27,91.551
43.98244444,-89.5480556,61200,14.43,13.719
32.7804544,-79.923699,61200,20.92,19.976000000000003
35.41007829,-86.0697088,61200,10.77,10.281
29.30452778,-89.597,64800,6.91,6.656000000000001
29.92105823,-95.840229,64800,152.84,117.07000000000001
41.31055556,-71.8583333,64800,1.51,1.167
39.2206139,-84.4468864,64800,11.08,10.619
48.65913889,-121.2890278,64800,29.41,28.172000000000004
21.39416667,-157.749361,64800,7.28,5.998
29.30452778,-89.597,68400,6.97,6.656000000000001
41.12875,-76.3034722,68400,2.27,2.2059999999999995
21.5523611,-158.0655833,68400,27.27,26.137999999999998
45.2073611,-118.0205,72000,27.18,27.163999999999998
29.4742722,-90.0066056,72000,7.85,7.787000000000001
48.65913889,-121.2890278,72000,29.32,28.172000000000004
32.7804544,-79.923699,72000,20.35,19.976000000000003
29.30452778,-89.597,75600,6.93,6.656000000000001
30.17647778,-97.5869167,79200,11.02,10.980999999999998
45.2073611,-118.0205,79200,27.18,27.163999999999998
44.9305688,-84.69225229,79200,3.58,3.218
48.65913889,-121.2890278,79200,28.97,28.172000000000004
44.19563889,-89.4174722,79200,99.27,91.551
21.4973611,-157.9807222,79200,17.23,17.168
21.5523611,-158.0655833,79200,27.23,26.137999999999998
39.58589537,-83.122687,82800,7.97,7.686999999999999
29.4742722,-90.0066056,82800,7.9,7.787000000000001
44.19563889,-89.4174722,82800,99.27,91.551
33.2531111,-81.16125,82800,6.28,5.790000000000001
35.41007829,-86.0697088,82800,10.97,10.281
